date,daily_posts,daily_likes,daily_furries,total_bsky_users
2023-05-13,0,0,18,77670
2023-05-14,65,695,69,79287
2023-05-15,128,1618,17,80646
2023-05-16,243,3002,11,81992
2023-05-17,223,2728,3,83680
2023-05-18,268,2612,22,84928
2023-05-19,226,2148,20,85944
2023-05-20,250,2230,1,86883
2023-05-21,205,2166,4,87940
2023-05-22,176,1926,2,89274
2023-05-23,144,1304,1,91106
2023-05-24,158,1547,40,92987
2023-05-25,179,1651,1,95059
2023-05-26,268,3192,20,96756
2023-05-27,284,3149,8,98239
2023-05-28,312,3460,15,99806
2023-05-29,232,2641,6,101482
2023-05-30,335,2997,0,102804
2023-05-31,224,2467,7,104153
2023-06-01,235,2361,0,105663
2023-06-02,290,2378,0,106775
2023-06-03,278,1922,20,107934
2023-06-04,254,1544,0,109088
2023-06-05,297,1725,0,110458
2023-06-06,155,1462,0,112305
2023-06-07,218,1614,0,114149
2023-06-08,259,1896,14,116349
2023-06-09,240,1600,0,118464
2023-06-10,229,1685,0,120755
2023-06-11,213,1513,10,123315
2023-06-12,227,1692,29,125268
2023-06-13,332,2961,16,128772
2023-06-14,292,2125,23,131627
2023-06-15,313,2992,27,134223
2023-06-16,384,3203,10,136391
2023-06-17,521,3762,5,137641
2023-06-18,392,3069,18,138988
2023-06-19,480,3193,0,140227
2023-06-20,375,2684,0,146035
2023-06-21,398,3195,17,154424
2023-06-22,864,7738,80,158200
2023-06-23,804,7299,12,160270
2023-06-24,620,5064,25,162306
2023-06-25,586,3975,1,164900
2023-06-26,578,4839,25,169984
2023-06-27,704,6106,20,174921
2023-06-28,613,5300,18,179676
2023-06-29,630,4633,12,184659
2023-06-30,672,4617,7,203365
2023-07-01,745,4919,33,203366
2023-07-02,1703,16216,122,244101
2023-07-03,1787,16133,105,255662
2023-07-04,1895,18593,74,264348
2023-07-05,1722,17016,40,273783
2023-07-06,1949,18971,41,280810
2023-07-07,1914,18868,45,285131
2023-07-08,1698,16901,31,288353
2023-07-09,1626,14913,33,292024
2023-07-10,1590,14411,21,293933
