date,furries_added
2023-05-13,18
2023-05-14,69
2023-05-15,17
2023-05-16,11
2023-05-17,3
2023-05-18,22
2023-05-19,20
2023-05-20,1
2023-05-21,4
2023-05-22,2
2023-05-23,1
2023-05-24,40
2023-05-25,1
2023-05-26,20
2023-05-27,8
2023-05-28,15
2023-05-29,6
2023-05-31,7
2023-06-03,20
2023-06-08,14
2023-06-11,10
2023-06-12,29
2023-06-13,16
2023-06-14,23
2023-06-15,27
2023-06-16,10
2023-06-18,5
2023-06-19,18
2023-06-21,17
2023-06-22,80
2023-06-23,12
2023-06-24,25
2023-06-25,1
2023-06-26,25
2023-06-27,20
2023-06-28,18
2023-06-29,12
2023-06-30,7
2023-07-01,33
2023-07-02,122
2023-07-03,105
2023-07-04,74
2023-07-05,40
2023-07-06,41
2023-07-07,45
2023-07-08,31
2023-07-09,33
2023-07-10,21
2023-07-11,13
2023-07-12,9
